#{"t_start": 1763633712.5493202, "env_id": "None"}
r,l,t
-1.77501,50,1.76814
-7.614014,50,2.111024
-6.594959,50,2.495597
-7.691841,50,2.995265
-8.06569,50,3.497194
-2.808323,50,3.995614
-5.365932,50,4.520566
-6.828008,50,5.040168
-5.849979,50,5.496023
-6.155856,50,5.995824
-4.362123,50,6.495438
-8.864914,50,6.995942
-3.000813,50,7.495805
-3.879134,50,8.004324
-9.281472,50,8.561061
-3.776572,50,9.045517
-5.435905,50,9.495851
-1.97071,50,9.995898
-1.218052,50,10.534291
-9.739463,50,10.995923
-2.470438,50,11.495382
-6.048642,50,11.995292
-5.858318,50,12.494669
-1.504287,50,12.995078
-1.756667,50,13.515368
-2.975541,50,13.995683
-3.454343,50,14.495365
-1.5107,50,15.033757
-6.014972,50,15.757491
-2.376042,50,16.078931
-2.559999,50,16.586339
-8.361596,50,16.994909
-4.980062,50,17.495663
-7.779337,50,17.994902
-9.378554,50,18.494748
-6.196773,50,18.994597
-0.917107,50,19.494836
-0.854924,50,20.018859
-1.510428,50,20.495316
-1.450528,50,20.994557
-5.430354,50,21.496115
-7.121336,50,21.996577
-2.107462,50,22.495949
-5.116828,50,22.994716
-11.204951,50,23.57165
-1.837313,50,23.995169
-7.074848,50,24.495838
-0.305071,50,24.995083
-3.715457,50,25.495852
-6.486879,50,25.994549
-1.997536,50,26.494473
-5.738766,50,26.995026
-6.558901,50,27.495085
-4.797838,50,27.994663
-3.604471,50,28.496079
-6.877575,50,28.994619
-1.350524,50,29.494706
-1.432723,50,29.996059
-5.166189,50,30.495429
-1.512585,50,30.994383
-8.922817,50,31.494301
-4.726137,50,31.995437
-0.821921,50,32.495627
-4.075312,50,32.995163
-6.57758,50,33.494602
-1.761131,50,33.994886
-3.330461,50,34.538128
-7.585556,50,35.093771
-3.457697,50,35.494546
-0.839704,50,35.995369
-1.16059,50,36.495938
-2.430872,50,36.995963
-6.213013,50,37.495242
-6.076811,50,37.996025
-0.617468,50,38.496095
-0.286119,50,38.995516
-7.5301,50,39.495007
-6.963648,50,39.995126
-1.323247,50,40.495748
-8.078029,50,40.99578
-5.114054,50,41.495364
-3.478135,50,41.994393
-0.565758,50,42.496226
-2.456207,50,42.998867
-0.399363,50,43.495155
-1.184307,50,43.995669
-4.087343,50,44.49527
-5.292089,50,44.995579
-1.645242,50,45.494942
-1.508617,50,45.996046
-3.012892,50,46.495045
-0.867544,50,46.99505
-4.142804,50,47.495844
-1.669054,50,47.995367
-5.187128,50,48.494762
-1.253483,50,48.994892
-1.543528,50,49.495874
-0.98054,50,49.995833
-1.442443,50,50.494655
-0.959784,50,50.994345
-3.10843,50,51.495736
-6.481935,50,51.995623
-6.545477,50,52.494385
-1.961407,50,52.994807
-15.015574,50,53.49483
-3.95579,50,53.995287
-2.986541,50,54.495806
-6.420249,50,54.995616
-0.498489,50,55.494971
-2.901868,50,55.995919
-1.24663,50,56.495808
-1.341795,50,56.994958
-0.230295,50,57.495203
-2.573936,50,57.994985
-1.313145,50,58.4948
-4.514955,50,59.004806
-0.182459,50,59.495818
-1.311927,50,59.995764
-1.137214,50,60.565876
-6.198596,50,60.995685
-4.193961,50,61.496087
-2.095173,50,61.995904
-0.231173,50,62.494968
-1.882856,50,62.995843
-5.215536,50,63.547645
-4.133256,50,63.995863
-1.56991,50,64.495794
-0.744052,50,64.995658
-1.487983,50,65.496498
-1.493326,50,65.995697
-3.854287,50,66.494409
-2.102609,50,66.994613
-0.922105,50,67.494627
-0.233266,50,67.994262
-6.75343,50,68.494704
-1.466773,50,68.995755
-0.862857,50,69.495527
-1.150918,50,69.995167
-3.949808,50,70.494885
-4.968132,50,70.995369
-1.455061,50,71.495702
-0.584307,50,71.995665
-1.219475,50,72.495497
-6.636553,50,72.995601
-1.59273,50,73.494775
-1.141963,50,73.995592
-1.436527,50,74.494965
-4.606914,50,74.996299
-1.402589,50,75.495036
-4.320141,50,75.9955
-0.866119,50,76.495797
-5.573874,50,76.996293
-6.499117,50,77.496232
-3.496563,50,77.994175
-2.362147,50,78.495538
-1.220647,50,78.995867
-0.850762,50,79.495379
-3.452027,50,79.995745
-4.615916,50,80.495898
-0.908109,50,80.995114
-7.33913,50,81.494508
-0.814269,50,81.995349
-3.871747,50,82.494891
-0.761112,50,82.99552
-5.266593,50,83.4957
-2.486089,50,83.995101
-0.595352,50,84.495964
-2.349331,50,84.995635
-1.965917,50,85.494951
-1.023079,50,85.994418
-1.856453,50,86.649004
-2.832134,50,86.995335
-2.259379,50,87.495435
-0.409563,50,87.995667
-0.638719,50,88.495653
-4.59521,50,88.995601
-6.099329,50,89.494562
-2.900598,50,89.995132
-4.081073,50,90.496011
-0.212389,50,90.995768
-1.496605,50,91.49473
-2.406827,50,91.995969
-6.869944,50,92.494653
-1.271565,50,92.994879
-2.534061,50,93.495107
-3.090395,50,93.995372
-2.870583,50,94.501884
-1.955381,50,94.994955
-1.522713,50,95.495749
-1.982827,50,95.994304
-0.311315,50,96.494662
-0.831827,50,96.995719
-0.167126,50,97.49582
-0.509901,50,97.995656
-4.519458,50,98.495639
-3.034367,50,98.994533
-0.556572,50,99.49532
-0.775074,50,99.995284
-0.949677,50,100.494846
-1.895445,50,100.9957
-2.620591,50,101.494552
-3.316259,50,101.995955
-0.278609,50,102.49549
-3.37113,50,102.995286
-2.324113,50,103.495233
-1.189256,50,103.994374
-2.20208,50,104.495901
-1.72621,50,104.994268
-0.683904,50,105.494732
-1.255953,50,105.994915
-3.83774,50,106.495008
-1.352173,50,106.994394
-2.169658,50,107.495854
-4.432787,50,107.995659
-0.901912,50,108.495024
-4.35496,50,108.995803
-2.461822,50,109.495226
-1.887885,50,109.995123
-1.827578,50,110.495295
-3.290661,50,110.994615
-2.036359,50,111.546035
-2.001424,50,111.995081
-3.25568,50,112.506318
-2.265213,50,112.994621
-2.117799,50,113.494694
-4.16566,50,113.99512
-2.321962,50,114.49473
-3.671245,50,114.995044
-3.687365,50,115.496321
-1.579354,50,115.998152
-1.485757,50,116.496073
-2.845086,50,116.994963
-5.322995,50,117.496164
-1.965456,50,117.995579
-6.561413,50,118.494854
-2.361779,50,118.995952
-0.721032,50,119.499205
-1.74007,50,120.088759
-2.080205,50,120.578492
-2.884917,50,120.995722
-1.293026,50,121.496313
-2.118938,50,121.994895
-1.799343,50,122.494963
-3.619097,50,123.006645
-5.288893,50,123.494639
-4.907052,50,124.065089
-5.304857,50,124.495704
-4.781582,50,124.995651
-1.67523,50,125.495428
-4.408934,50,125.995428
-4.099112,50,126.709492
-3.747713,50,127.245903
-1.256729,50,128.207807
-3.345122,50,128.974277
-3.648961,50,129.577457
-3.493571,50,130.171599
-1.89683,50,130.701151
-1.192951,50,131.226071
-0.756936,50,131.722945
-2.665336,50,132.189965
-1.600988,50,132.760415
-4.024726,50,133.53383
-1.801933,50,134.029657
-4.767003,50,134.561038
-1.628016,50,135.091361
-1.406323,50,135.625765
-3.328528,50,136.215758
-1.059527,50,136.897938
-3.971961,50,137.611159
-1.313311,50,138.047133
-3.489769,50,138.599318
-1.661731,50,139.199239
-0.688973,50,139.730254
-5.963434,50,140.357226
-6.437818,50,140.909578
-2.041753,50,141.465253
-4.125365,50,142.069881
-2.074625,50,142.678595
-1.474186,50,143.181275
-1.014896,50,143.643235
-0.747286,50,144.093438
-0.668443,50,144.730066
-4.165405,50,145.526361
-2.685331,50,146.235161
-2.120211,50,146.759612
-5.808184,50,147.159414
-2.119265,50,147.607367
-1.941322,50,148.019687
-2.848565,50,148.483733
-2.82032,50,149.017337
-3.774393,50,149.492927
-0.394833,50,149.983921
-1.04942,50,150.484261
-1.286779,50,150.987435
-1.646114,50,151.633269
-4.196391,50,152.092705
-1.280501,50,152.497955
-2.411498,50,152.9998
-1.202093,50,153.548525
-2.085791,50,154.008596
-1.66006,50,154.484599
-2.097167,50,154.983989
