#{"t_start": 1763457324.4299111, "env_id": "None"}
r,l,t
-1.590421,50,1.203409
-4.541614,50,1.702554
-7.000559,50,2.202548
-5.849441,50,2.702532
-10.14049,50,3.202438
-8.953923,50,3.701744
-6.728732,50,4.201927
-6.583209,50,4.702338
-7.46158,50,5.202299
-5.978656,50,5.702421
-5.52126,50,6.202325
-7.402114,50,6.702209
-4.196813,50,7.202391
-7.626517,50,7.701771
-10.937472,50,8.202434
-5.728172,50,8.702301
-2.915526,50,9.2026
-6.634902,50,9.703103
-4.012712,50,10.203125
-7.595863,50,10.703465
-2.950019,50,11.203216
-3.661842,50,11.703406
-3.880108,50,12.202532
-3.100314,50,12.70193
-4.161851,50,13.202421
-10.463141,50,13.702672
-9.862352,50,14.202769
-1.115429,50,14.702284
-1.379372,50,15.203369
-1.334899,50,15.702397
-1.943907,50,16.201895
-9.938796,50,16.703102
-10.372862,50,17.203012
-9.877337,50,17.702466
-8.508954,50,18.202796
-7.085973,50,18.7024
-0.749893,50,19.202411
-5.63053,50,19.702748
-1.376452,50,20.203161
-5.773727,50,20.703287
-6.271554,50,21.202217
-7.738936,50,21.702739
-3.510096,50,22.202991
-1.663246,50,22.70265
-4.291751,50,23.202734
-5.206913,50,23.702651
-6.874448,50,24.20191
-6.611071,50,24.703922
-5.468876,50,25.202185
-8.206479,50,25.702932
-5.442676,50,26.204058
-8.046766,50,26.702557
-6.458101,50,27.202965
-5.967838,50,27.702494
-2.573219,50,28.203106
-7.631975,50,28.70246
-4.028124,50,29.202249
-3.620808,50,29.702292
-7.430589,50,30.203623
-2.989785,50,30.702355
-5.952417,50,31.202155
-5.939737,50,31.704055
-1.839521,50,32.204005
-5.584912,50,32.702488
-5.52598,50,33.204159
-4.930732,50,33.704219
-4.811662,50,34.20285
-7.433556,50,34.704042
-4.231957,50,35.20279
-1.774745,50,35.704274
-3.235128,50,36.203407
-4.892471,50,36.702348
-6.319413,50,37.204399
-7.564411,50,37.703656
-2.412668,50,38.203876
-1.018914,50,38.703134
-5.590501,50,39.203726
-4.977741,50,39.702464
-4.359247,50,40.204351
-8.424829,50,40.703485
-7.123654,50,41.202491
-7.292135,50,41.703571
-7.225358,50,42.203715
-3.246593,50,42.703423
-2.625217,50,43.203414
-1.260014,50,43.703485
-3.087343,50,44.203592
-6.316489,50,44.70356
-7.784442,50,45.203091
-4.913582,50,45.703341
-3.079998,50,46.203759
-3.478344,50,46.703193
-6.035604,50,47.203883
-2.917054,50,47.704246
-7.066328,50,48.203813
-4.501375,50,48.704659
-2.673127,50,49.203226
-1.768329,50,49.703635
-5.333222,50,50.203
-0.85204,50,50.704546
-5.82163,50,51.204748
-7.863536,50,51.703716
-6.458677,50,52.20475
-2.903007,50,52.7047
-2.981284,50,53.20474
-5.581389,50,53.703144
-6.026141,50,54.20423
-6.411049,50,54.703839
-2.398403,50,55.203694
-5.238668,50,55.703597
-2.17383,50,56.204047
-5.698195,50,56.703614
-1.288334,50,57.204511
-6.543936,50,57.704825
-0.787226,50,58.204464
-7.290555,50,58.706621
-1.477027,50,59.204194
-1.230911,50,59.705017
-2.301213,50,60.20357
-6.152996,50,60.704202
-6.119561,50,61.205096
-6.937132,50,61.705052
-2.101291,50,62.204465
-3.302346,50,62.70422
-5.097536,50,63.204033
-6.144856,50,63.70409
-4.349736,50,64.204943
-5.158132,50,64.704113
-4.855182,50,65.203306
-1.152117,50,65.703507
-4.842977,50,66.203934
-8.917009,50,66.703924
-2.098363,50,67.204018
-2.046531,50,67.704401
-7.465429,50,68.204078
-6.44555,50,68.703787
-2.350057,50,69.20494
-1.266619,50,69.704453
-5.356208,50,70.205304
-5.662532,50,70.705276
-3.82888,50,71.205133
-1.89965,50,71.70458
-3.309475,50,72.205472
-7.110953,50,72.705383
-1.249721,50,73.204596
-4.251564,50,73.704048
-4.220528,50,74.204518
-7.236114,50,74.705373
-1.6769,50,75.205538
-5.603741,50,75.706275
-1.467822,50,76.205524
-5.911074,50,76.706545
-6.571917,50,77.206003
-5.040963,50,77.705561
-4.012548,50,78.205831
-2.578003,50,78.705927
-1.896248,50,79.206091
-3.880027,50,79.706034
-5.881916,50,80.206041
-4.456404,50,80.706184
-6.69033,50,81.203841
-1.914857,50,81.705884
-5.467747,50,82.205898
-1.801093,50,82.706255
-6.590592,50,83.205035
-2.835289,50,83.705547
-2.363419,50,84.206084
-4.933731,50,84.705441
-2.9805,50,85.205807
-3.051226,50,85.706112
-6.424854,50,86.205382
-4.346934,50,86.705898
-3.158979,50,87.204678
-2.079563,50,87.705767
-3.916319,50,88.205593
-5.41681,50,88.706145
-6.728129,50,89.205857
-5.346608,50,89.705578
-5.771873,50,90.206131
-2.863989,50,90.706057
-5.998803,50,91.205676
-5.979001,50,91.706116
-7.366344,50,92.20638
-0.619891,50,92.715879
-3.101661,50,93.205773
-7.305995,50,93.706268
-4.936582,50,94.206094
-0.94659,50,94.70591
-3.177113,50,95.206277
-5.897287,50,95.705991
-1.927715,50,96.205569
-2.019827,50,96.706025
-3.53556,50,97.20641
-1.365901,50,97.706218
-6.429458,50,98.206664
-4.175567,50,98.705785
-2.300572,50,99.206364
-2.270674,50,99.705762
-1.447746,50,100.206211
-2.870853,50,100.705479
-1.519443,50,101.206109
-5.500259,50,101.706074
-1.895219,50,102.205487
-1.298659,50,102.705837
-3.902512,50,103.205774
-1.979986,50,103.705724
-2.378813,50,104.206427
-0.93632,50,104.706139
-0.972612,50,105.206018
-2.475953,50,105.70566
-4.92694,50,106.206587
-1.906096,50,106.705836
-4.567258,50,107.205695
-7.292788,50,107.705669
-2.504126,50,108.206194
-4.52056,50,108.705993
-1.645608,50,109.206626
-2.578285,50,109.705351
-2.050194,50,110.206236
-5.978661,50,110.706102
-4.317159,50,111.206097
-2.203449,50,111.706148
-3.63568,50,112.205395
-3.595213,50,112.706149
-2.551799,50,113.206956
-5.28086,50,113.706894
-3.418762,50,114.205889
-3.944045,50,114.706327
-3.434965,50,115.206375
-0.791627,50,115.705874
-0.986647,50,116.205855
-3.791349,50,116.705495
-6.683795,50,117.205702
-1.924922,50,117.705786
-6.627014,50,118.206197
-4.821779,50,118.706631
-1.351097,50,119.206761
-2.20767,50,119.706887
-2.547805,50,120.206226
-3.524516,50,120.707011
-3.015826,50,121.205836
-2.941738,50,121.706089
-1.570009,50,122.205644
-4.386697,50,122.705933
-5.600493,50,123.207049
-6.845452,50,123.705862
-6.814457,50,124.205577
-4.930782,50,124.705916
-4.428135,50,125.20619
-4.708934,50,125.706361
-5.367111,50,126.206986
-5.308513,50,126.706966
-1.447929,50,127.205844
-4.399922,50,127.707282
-3.767761,50,128.206012
-4.331603,50,128.706705
-2.962845,50,129.20609
-3.105908,50,129.707349
-2.332282,50,130.207468
-3.318136,50,130.70736
-1.650915,50,131.206719
-7.345126,50,131.705903
-1.229095,50,132.206698
-6.718603,50,132.706258
-2.793616,50,133.207075
-1.413382,50,133.706127
-3.793728,50,134.206726
-1.287527,50,134.707611
-5.587162,50,135.206982
-1.301311,50,135.707576
-3.951769,50,136.207248
-1.966582,50,136.707547
-1.499373,50,137.207006
-5.991834,50,137.707737
-6.785418,50,138.207032
-2.879929,50,138.707785
-5.011365,50,139.207144
-1.7583,50,139.707723
-3.047386,50,140.207243
-1.221768,50,140.706699
-1.086596,50,141.207074
-1.276669,50,141.707557
-4.705805,50,142.206715
-3.804131,50,142.708114
-2.908611,50,143.207624
-6.818584,50,143.707964
-1.684042,50,144.207177
-2.910122,50,144.707459
-3.352165,50,145.207181
-3.440802,50,145.707947
-4.506793,50,146.207212
-1.512433,50,146.707907
-1.78102,50,147.206724
-1.569579,50,147.706561
-1.110852,50,148.207338
-5.715591,50,148.70741
-1.082615,50,149.207186
-3.082698,50,149.707321
-0.700498,50,150.207177
-2.46579,50,150.706752
-1.656245,50,151.207092
-2.959167,50,151.706615
-6.325073,50,152.206723
-1.836052,50,152.707263
-3.194794,50,153.207677
-5.049494,50,153.707029
-4.930114,50,154.20716
-2.144856,50,154.707358
-5.98164,50,155.207272
-6.935653,50,155.708155
-1.553188,50,156.208308
-3.958666,50,156.708158
-4.316348,50,157.208729
-2.416839,50,157.708116
-3.547292,50,158.207206
-4.437218,50,158.707417
-6.110942,50,159.207256
-1.895683,50,159.708146
-7.015147,50,160.207284
-1.178874,50,160.707175
-1.037704,50,161.206782
-3.390629,50,161.707989
-3.884158,50,162.20724
-3.300302,50,162.707212
-5.495296,50,163.207955
-1.894644,50,163.708761
-2.305226,50,164.207525
-5.176953,50,164.708119
-3.967533,50,165.206856
-1.676464,50,165.707589
-3.077561,50,166.208512
-1.27485,50,166.70892
-7.528053,50,167.208129
-2.948605,50,167.708517
-1.607294,50,168.207944
-1.549333,50,168.708708
-1.83648,50,169.20824
-3.283287,50,169.707599
-7.00888,50,170.208683
-4.724184,50,170.708719
-3.27367,50,171.208788
-1.595374,50,171.708088
-3.636847,50,172.208869
-6.003492,50,172.708792
-4.378536,50,173.207241
-7.17691,50,173.708601
-1.41292,50,174.207891
-0.746839,50,174.708821
-3.964068,50,175.208439
-5.896583,50,175.707856
-0.947915,50,176.208163
-3.922235,50,176.708343
-4.815202,50,177.207873
-6.555541,50,177.707935
-6.066315,50,178.207873
-1.200734,50,178.708638
-3.742271,50,179.208255
-5.184799,50,179.70841
-3.638703,50,180.208643
-1.186904,50,180.708494
-1.055252,50,181.208647
-6.533968,50,181.707968
-5.072715,50,182.208225
-0.834144,50,182.70864
-2.783666,50,183.208632
-3.51942,50,183.70816
-3.481749,50,184.208508
-2.139103,50,184.708053
-5.505615,50,185.208596
-1.781943,50,185.709497
-0.728826,50,186.208701
-2.692506,50,186.709321
-0.851941,50,187.208547
-5.378698,50,187.709021
-7.115043,50,188.207817
-5.045777,50,188.708758
-1.785063,50,189.207995
-1.817947,50,189.709518
-1.623044,50,190.20811
-2.047462,50,190.712077
-3.218682,50,191.20903
-1.359288,50,191.709612
-4.960839,50,192.208471
-0.485485,50,192.709642
-4.884017,50,193.208366
-2.526159,50,193.709644
-3.067593,50,194.208655
-1.381749,50,194.709642
-4.031792,50,195.209446
-3.294641,50,195.70847
-2.089609,50,196.209318
-2.103177,50,196.709409
-2.408124,50,197.209663
-2.48146,50,197.709749
-7.376787,50,198.20973
-3.873748,50,198.709853
-3.472653,50,199.209203
-4.234051,50,199.709651
-2.102625,50,200.209856
-3.60041,50,200.709291
-5.029594,50,201.209454
-1.239969,50,201.709978
-6.495871,50,202.210042
-4.08563,50,202.709341
-1.078794,50,203.210382
-0.463473,50,203.709793
-1.436702,50,204.210266
-5.490193,50,204.709311
-3.198163,50,205.210792
-2.829236,50,205.710254
-1.79762,50,206.209255
-0.693088,50,206.71022
-3.257123,50,207.209442
-4.944512,50,207.708958
-1.356758,50,208.208588
-3.690163,50,208.709664
-2.82776,50,209.210247
-3.140727,50,209.709533
-7.525895,50,210.209373
-4.320983,50,210.712328
-0.393461,50,211.209423
-4.923255,50,211.710236
-2.928882,50,212.210329
-0.888928,50,212.709098
-6.065099,50,213.210541
-4.799315,50,213.710397
-2.098179,50,214.209211
-5.684188,50,214.709214
-3.946975,50,215.209724
-0.691318,50,215.710656
-2.933523,50,216.209822
-2.54194,50,216.710589
-5.231501,50,217.209583
-3.518329,50,217.711073
-1.037815,50,218.210098
-1.864499,50,218.710184
-3.775093,50,219.209332
-5.511195,50,219.709604
-3.156632,50,220.209823
-5.832355,50,220.709064
-2.443147,50,221.209849
-1.17866,50,221.709593
-5.237416,50,222.210008
-2.533325,50,222.7102
-0.822112,50,223.209907
-0.565359,50,223.71063
-2.797619,50,224.208937
-3.773651,50,224.7099
-4.501773,50,225.209143
-2.910702,50,225.710901
-4.466796,50,226.211067
-0.891823,50,226.710044
-6.15043,50,227.210866
-0.909981,50,227.709682
-1.674984,50,228.209383
-4.939796,50,228.709666
-0.638244,50,229.209261
-3.776276,50,229.711147
-0.529397,50,230.210168
-3.187721,50,230.710929
-1.105866,50,231.210207
-6.810614,50,231.710953
-0.863152,50,232.211174
-0.807605,50,232.710609
-3.816423,50,233.209382
-4.726532,50,233.710813
-3.166908,50,234.209397
-1.055379,50,234.710148
-0.962683,50,235.21085
-0.809904,50,235.711355
-2.147099,50,236.211149
-3.357805,50,236.710352
-5.261253,50,237.210713
-1.751837,50,237.711064
-1.198622,50,238.210637
-8.380786,50,238.710598
-2.308789,50,239.210634
-1.030415,50,239.710898
-5.573492,50,240.210793
-1.758279,50,240.71109
-6.50245,50,241.209577
-7.259485,50,241.710227
-1.169947,50,242.210723
-1.336393,50,242.710751
-3.265132,50,243.209977
-7.17392,50,243.711688
-0.956774,50,244.20991
-0.868476,50,244.710026
-6.305456,50,245.211611
-1.460226,50,245.710303
-1.088905,50,246.210547
-0.825022,50,246.710865
-4.854437,50,247.211661
-0.826841,50,247.710642
-1.854679,50,248.210905
-3.682211,50,248.71138
-4.530157,50,249.210083
-1.830531,50,249.710536
-0.155391,50,250.211273
-1.0097,50,250.711314
-3.37194,50,251.210551
-6.782069,50,251.710541
-0.414494,50,252.210378
-1.85143,50,252.71065
-3.301802,50,253.210495
-3.621959,50,253.710784
-2.838342,50,254.219639
-2.429779,50,254.711903
-2.805867,50,255.210711
-6.721815,50,255.711653
-5.488667,50,256.2108
-0.901757,50,256.710538
-1.206062,50,257.211071
-1.354198,50,257.711554
-6.180995,50,258.212117
-0.951448,50,258.711665
-3.974046,50,259.21153
-0.927754,50,259.712042
-3.065847,50,260.21131
-2.178154,50,260.710851
-4.973286,50,261.211705
-0.667049,50,261.711701
-2.335364,50,262.211128
-4.307486,50,262.712378
-7.530005,50,263.211751
-2.06239,50,263.712202
-3.042469,50,264.212264
-6.009207,50,264.712615
-1.079698,50,265.210873
-5.992793,50,265.712094
-2.322476,50,266.211111
-3.133017,50,266.712339
-3.359517,50,267.212387
-3.625323,50,267.712855
-0.553687,50,268.212365
-0.473606,50,268.712698
-3.212464,50,269.211363
-0.652408,50,269.712451
-4.731311,50,270.212279
-0.476195,50,270.71147
-2.487526,50,271.210961
-5.488515,50,271.711983
-0.723932,50,272.211538
-0.894485,50,272.712111
-1.719874,50,273.212565
-1.371686,50,273.712057
-2.205982,50,274.211799
-3.634552,50,274.711015
-0.928826,50,275.212114
-1.055381,50,275.711879
-0.32688,50,276.211672
-3.198409,50,276.711994
-0.319392,50,277.212155
-2.025727,50,277.712672
-3.943458,50,278.210928
-4.796654,50,278.711898
-2.655734,50,279.211749
-0.765194,50,279.711958
-7.684882,50,280.212825
-1.731543,50,280.712805
-0.824454,50,281.212475
-1.254614,50,281.71191
-4.570039,50,282.211525
-0.579536,50,282.712189
-0.608418,50,283.212378
-3.388064,50,283.712096
-3.735714,50,284.212173
-0.529157,50,284.71222
-1.274281,50,285.211642
-0.916597,50,285.712106
-0.598837,50,286.211462
-1.716653,50,286.711691
-1.954784,50,287.212315
-2.403977,50,287.712749
-3.072217,50,288.211808
-0.555876,50,288.712408
-6.462137,50,289.212297
-1.168452,50,289.71171
-3.210698,50,290.211531
